Date,Oil_Price,Dollar_Index,Stavka,isp
2022-11-14,93.13999938964844,106.53099822998048,7.5,5511.28
2022-11-15,93.86000061035156,106.29499816894533,7.5,5511.28
2022-11-16,92.86000061035156,106.1520004272461,7.5,5511.28
2022-11-17,89.77999877929688,106.59200286865234,7.5,5511.28
2022-11-18,87.62000274658203,106.82599639892578,7.5,5511.28
2022-11-21,87.44999694824219,107.73200225830078,7.5,5511.28
2022-11-22,88.36000061035156,107.11499786376952,7.5,5511.28
2022-11-23,85.41000366210938,105.96700286865234,7.5,5511.28
2022-11-25,83.62999725341797,105.91699981689452,7.5,5511.28
2022-11-28,83.19000244140625,106.63200378417967,7.5,5511.28
2022-11-29,83.02999877929688,106.76799774169922,7.5,5511.28
2022-11-30,85.43000030517578,105.89700317382812,7.5,5511.28
2022-12-01,86.87999725341797,104.68900299072266,7.5,5562.58
2022-12-02,85.56999969482422,104.5,7.5,5562.58
2022-12-05,82.68000030517578,105.23899841308594,7.5,5562.58
2022-12-06,79.3499984741211,105.54199981689452,7.5,5562.58
2022-12-07,77.16999816894531,105.05599975585938,7.5,5562.58
2022-12-08,76.1500015258789,104.75599670410156,7.5,5562.58
2022-12-09,76.0999984741211,104.79900360107422,7.5,5562.58
2022-12-12,77.98999786376953,105.10399627685548,7.5,5562.58
2022-12-13,80.68000030517578,103.94300079345705,7.5,5562.58
2022-12-14,82.69999694824219,103.73899841308594,7.5,5562.58
2022-12-15,81.20999908447266,104.53199768066406,7.5,5562.58
2022-12-16,79.04000091552734,104.66100311279295,7.5,5562.58
2022-12-19,79.80000305175781,104.59500122070312,7.5,5562.58
2022-12-20,79.98999786376953,103.6060028076172,7.5,5562.58
2022-12-21,82.19999694824219,103.84700012207033,7.5,5562.58
2022-12-22,80.9800033569336,104.1269989013672,7.5,5562.58
2022-12-23,83.91999816894531,104.01000213623048,7.5,5562.58
2022-12-27,84.33000183105469,103.89299774169922,7.5,5562.58
2022-12-28,83.26000213623047,104.18199920654295,7.5,5562.58
2022-12-29,82.26000213623047,103.58599853515624,7.5,5562.58
2022-12-30,85.91000366210938,103.2689971923828,7.5,5562.58
2023-01-03,82.0999984741211,104.31199645996094,7.5,5600.33
2023-01-04,77.83999633789062,104.02100372314452,7.5,5600.33
2023-01-05,78.69000244140625,104.8280029296875,7.5,5600.33
2023-01-06,78.56999969482422,103.64600372314452,7.5,5600.33
2023-01-09,79.6500015258789,102.74299621582033,7.5,5600.33
2023-01-10,80.0999984741211,102.9800033569336,7.5,5600.33
2023-01-11,82.66999816894531,102.9280014038086,7.5,5600.33
2023-01-12,84.02999877929688,101.99500274658205,7.5,5600.33
2023-01-13,85.27999877929688,101.9459991455078,7.5,5600.33
2023-01-17,85.91999816894531,102.14099884033205,7.5,5600.33
2023-01-18,84.9800033569336,102.10700225830078,7.5,5600.33
2023-01-19,86.16000366210938,101.83100128173828,7.5,5600.33
2023-01-20,87.62999725341797,101.78099822998048,7.5,5600.33
2023-01-23,88.19000244140625,101.91600036621094,7.5,5600.33
2023-01-24,86.12999725341797,101.6750030517578,7.5,5600.33
2023-01-25,86.12000274658203,101.41600036621094,7.5,5600.33
2023-01-26,87.47000122070312,101.63800048828124,7.5,5600.33
2023-01-27,86.66000366210938,101.72100067138672,7.5,5600.33
2023-01-30,84.9000015258789,102.08599853515624,7.5,5600.33
2023-01-31,84.48999786376953,101.91500091552734,7.5,5600.33
2023-02-01,82.83999633789062,101.02799987792967,7.5,5656.61
2023-02-02,82.16999816894531,101.5749969482422,7.5,5656.61
2023-02-03,79.94000244140625,102.75499725341795,7.5,5656.61
2023-02-06,80.98999786376953,103.4980010986328,7.5,5656.61
2023-02-07,83.69000244140625,103.2979965209961,7.5,5656.61
2023-02-08,85.08999633789062,103.27200317382812,7.5,5656.61
2023-02-09,84.5,103.1060028076172,7.5,5656.61
2023-02-10,86.38999938964844,103.53500366210938,7.5,5656.61
2023-02-13,86.61000061035156,103.2480010986328,7.5,5656.61
2023-02-14,85.58000183105469,103.1230010986328,7.5,5656.61
2023-02-15,85.37999725341797,103.83899688720705,7.5,5656.61
2023-02-16,85.13999938964844,103.79100036621094,7.5,5656.61
2023-02-17,83.0,103.77999877929688,7.5,5656.61
2023-02-21,83.05000305175781,104.11199951171876,7.5,5656.61
2023-02-22,80.5999984741211,104.52300262451172,7.5,5656.61
2023-02-23,82.20999908447266,104.53900146484376,7.5,5656.61
2023-02-24,83.16000366210938,105.15799713134766,7.5,5656.61
2023-02-27,82.44999694824219,104.6240005493164,7.5,5656.61
2023-02-28,83.88999938964844,104.8249969482422,7.5,5656.61
2023-03-01,84.30999755859375,104.43199920654295,7.5,5645.03
2023-03-02,84.75,104.99500274658205,7.5,5645.03
2023-03-03,85.83000183105469,104.48799896240234,7.5,5645.03
2023-03-06,86.18000030517578,104.3249969482422,7.5,5645.03
2023-03-07,83.29000091552734,105.59200286865234,7.5,5645.03
2023-03-08,82.66000366210938,105.63400268554688,7.5,5645.03
